1464378167.714 2016-05-27 19:42:47 UTC 14614  [5748a337.3916:1] LOG:  database system was shut down at 2016-05-27 19:42:32 UTC
1464406135.051 2016-05-28 03:28:55 UTC 14615  [5748a337.3917:128] LOG:  checkpoint complete: wrote 58104 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.278 s, sync=0.000 s, total=299.281 s; sync files=15, longest=0.000 s, average=0.000 s; distance=391386 kB, estimate=1319394 kB
1464406135.877 2016-05-28 03:28:55 UTC 14615  [5748a337.3917:129] LOG:  checkpoint starting: immediate force wait
1464406135.970 2016-05-28 03:28:55 UTC 14615  [5748a337.3917:130] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.065 s, sync=0.000 s, total=0.093 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1187454 kB
1464406736.073 2016-05-28 03:38:56 UTC 14615  [5748a337.3917:131] LOG:  checkpoint starting: time
1464407037.945 2016-05-28 03:43:57 UTC 14615  [5748a337.3917:132] LOG:  checkpoint complete: wrote 106575 buffers (5.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.932 s, sync=1.898 s, total=301.872 s; sync files=20, longest=1.302 s, average=0.094 s; distance=3380929 kB, estimate=3380929 kB
1464407337.047 2016-05-28 03:48:57 UTC 14615  [5748a337.3917:133] LOG:  checkpoint starting: time
1464407637.374 2016-05-28 03:53:57 UTC 14615  [5748a337.3917:134] LOG:  checkpoint complete: wrote 108014 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 206 recycled; write=299.976 s, sync=0.149 s, total=300.325 s; sync files=17, longest=0.147 s, average=0.008 s; distance=3343500 kB, estimate=3377186 kB
1464407936.064 2016-05-28 03:58:56 UTC 14615  [5748a337.3917:135] LOG:  checkpoint starting: immediate force wait
1464407937.501 2016-05-28 03:58:57 UTC 14615  [5748a337.3917:136] LOG:  checkpoint complete: wrote 111954 buffers (5.3%); 0 transaction log file(s) added, 0 removed, 204 recycled; write=1.225 s, sync=0.022 s, total=1.436 s; sync files=18, longest=0.021 s, average=0.001 s; distance=3324768 kB, estimate=3371944 kB
1464408536.600 2016-05-28 04:08:56 UTC 14615  [5748a337.3917:137] LOG:  checkpoint starting: time
1464408836.152 2016-05-28 04:13:56 UTC 14615  [5748a337.3917:138] LOG:  checkpoint complete: wrote 60130 buffers (2.9%); 0 transaction log file(s) added, 9 removed, 194 recycled; write=299.428 s, sync=0.000 s, total=299.551 s; sync files=15, longest=0.000 s, average=0.000 s; distance=403147 kB, estimate=3075065 kB
1464408838.175 2016-05-28 04:13:58 UTC 14615  [5748a337.3917:139] LOG:  checkpoint starting: immediate force wait
1464408838.278 2016-05-28 04:13:58 UTC 14615  [5748a337.3917:140] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 6 removed, 19 recycled; write=0.073 s, sync=0.000 s, total=0.103 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2767558 kB
1464409438.380 2016-05-28 04:23:58 UTC 14615  [5748a337.3917:141] LOG:  checkpoint starting: time
1464409738.928 2016-05-28 04:28:58 UTC 14615  [5748a337.3917:142] LOG:  checkpoint complete: wrote 105396 buffers (5.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.698 s, sync=0.805 s, total=300.547 s; sync files=20, longest=0.805 s, average=0.040 s; distance=3502947 kB, estimate=3502947 kB
1464410039.031 2016-05-28 04:33:59 UTC 14615  [5748a337.3917:143] LOG:  checkpoint starting: time
1464410340.328 2016-05-28 04:39:00 UTC 14615  [5748a337.3917:144] LOG:  checkpoint complete: wrote 108512 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 214 recycled; write=300.053 s, sync=1.052 s, total=301.297 s; sync files=17, longest=1.050 s, average=0.061 s; distance=3511215 kB, estimate=3511215 kB
1464410638.503 2016-05-28 04:43:58 UTC 14615  [5748a337.3917:145] LOG:  checkpoint starting: immediate force wait
1464410640.101 2016-05-28 04:44:00 UTC 14615  [5748a337.3917:146] LOG:  checkpoint complete: wrote 114536 buffers (5.5%); 0 transaction log file(s) added, 0 removed, 214 recycled; write=1.403 s, sync=0.000 s, total=1.597 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3506682 kB, estimate=3510762 kB
1464411238.202 2016-05-28 04:53:58 UTC 14615  [5748a337.3917:147] LOG:  checkpoint starting: time
1464411538.221 2016-05-28 04:58:58 UTC 14615  [5748a337.3917:148] LOG:  checkpoint complete: wrote 58325 buffers (2.8%); 0 transaction log file(s) added, 11 removed, 203 recycled; write=299.881 s, sync=0.000 s, total=300.019 s; sync files=15, longest=0.000 s, average=0.000 s; distance=400685 kB, estimate=3199754 kB
1464411540.579 2016-05-28 04:59:00 UTC 14615  [5748a337.3917:149] LOG:  checkpoint starting: immediate force wait
1464411540.669 2016-05-28 04:59:00 UTC 14615  [5748a337.3917:150] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 24 removed, 0 recycled; write=0.070 s, sync=0.000 s, total=0.089 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2879779 kB
1464412140.774 2016-05-28 05:09:00 UTC 14615  [5748a337.3917:151] LOG:  checkpoint starting: time
1464412440.547 2016-05-28 05:14:00 UTC 14615  [5748a337.3917:152] LOG:  checkpoint complete: wrote 102700 buffers (4.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.291 s, sync=0.438 s, total=299.773 s; sync files=20, longest=0.436 s, average=0.021 s; distance=3459753 kB, estimate=3459753 kB
1464412740.646 2016-05-28 05:19:00 UTC 14615  [5748a337.3917:153] LOG:  checkpoint starting: time
1464413040.549 2016-05-28 05:24:00 UTC 14615  [5748a337.3917:154] LOG:  checkpoint complete: wrote 105708 buffers (5.0%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=299.433 s, sync=0.258 s, total=299.902 s; sync files=17, longest=0.257 s, average=0.015 s; distance=3468378 kB, estimate=3468378 kB
1464413340.650 2016-05-28 05:29:00 UTC 14615  [5748a337.3917:155] LOG:  checkpoint starting: time
1464413341.232 2016-05-28 05:29:01 UTC 14615  [5748a337.3917:156] LOG:  checkpoint complete: wrote 333 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 211 recycled; write=0.352 s, sync=0.001 s, total=0.582 s; sync files=11, longest=0.000 s, average=0.000 s; distance=3466586 kB, estimate=3468199 kB
1464413341.233 2016-05-28 05:29:01 UTC 14615  [5748a337.3917:157] LOG:  checkpoint starting: immediate force wait
1464413341.557 2016-05-28 05:29:01 UTC 14615  [5748a337.3917:158] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 16 removed, 196 recycled; write=0.089 s, sync=0.000 s, total=0.324 s; sync files=1, longest=0.000 s, average=0.000 s; distance=8566 kB, estimate=3122236 kB
1464413342.041 2016-05-28 05:29:02 UTC 14615  [5748a337.3917:159] LOG:  checkpoint starting: immediate force wait flush-all
1464413342.143 2016-05-28 05:29:02 UTC 14615  [5748a337.3917:160] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.089 s, sync=0.008 s, total=0.101 s; sync files=3, longest=0.008 s, average=0.002 s; distance=2 kB, estimate=2810012 kB
1464413342.299 2016-05-28 05:29:02 UTC 14615  [5748a337.3917:161] LOG:  checkpoint starting: immediate force wait
1464413342.378 2016-05-28 05:29:02 UTC 14615  [5748a337.3917:162] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.077 s, sync=0.000 s, total=0.079 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2529011 kB
1464413942.657 2016-05-28 05:39:02 UTC 14615  [5748a337.3917:163] LOG:  checkpoint starting: time
1464413945.044 2016-05-28 05:39:05 UTC 14615  [5748a337.3917:164] LOG:  checkpoint complete: wrote 23 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.382 s, sync=0.002 s, total=2.386 s; sync files=76, longest=0.000 s, average=0.000 s; distance=260025 kB, estimate=2302112 kB
1464414756.941 2016-05-28 05:52:36 UTC 14615  [5748a337.3917:165] LOG:  checkpoint starting: immediate force wait
1464414757.016 2016-05-28 05:52:37 UTC 14615  [5748a337.3917:166] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 14 removed, 2 recycled; write=0.058 s, sync=0.000 s, total=0.075 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2071901 kB
1464415356.116 2016-05-28 06:02:36 UTC 14615  [5748a337.3917:167] LOG:  checkpoint starting: time
1464415356.308 2016-05-28 06:02:36 UTC 14615  [5748a337.3917:168] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.188 s, sync=0.000 s, total=0.192 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=1864712 kB
1464415657.122 2016-05-28 06:07:37 UTC 14615  [5748a337.3917:169] LOG:  checkpoint starting: immediate force wait
1464415657.185 2016-05-28 06:07:37 UTC 14615  [5748a337.3917:170] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.060 s, sync=0.000 s, total=0.062 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1678241 kB
1464416069.785 2016-05-28 06:14:29 UTC 14615  [5748a337.3917:171] LOG:  checkpoint starting: xlog
1464416383.842 2016-05-28 06:19:43 UTC 14615  [5748a337.3917:172] LOG:  checkpoint complete: wrote 852822 buffers (40.7%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=313.893 s, sync=0.148 s, total=314.056 s; sync files=57, longest=0.143 s, average=0.002 s; distance=6688419 kB, estimate=6688419 kB
1464416503.510 2016-05-28 06:21:43 UTC 14615  [5748a337.3917:173] LOG:  checkpoint starting: xlog
1464416784.518 2016-05-28 06:26:24 UTC 14615  [5748a337.3917:174] LOG:  checkpoint complete: wrote 745161 buffers (35.5%); 0 transaction log file(s) added, 52 removed, 357 recycled; write=280.628 s, sync=0.174 s, total=281.008 s; sync files=54, longest=0.172 s, average=0.003 s; distance=6701060 kB, estimate=6701060 kB
1464416957.602 2016-05-28 06:29:17 UTC 14615  [5748a337.3917:175] LOG:  checkpoint starting: xlog
1464417278.088 2016-05-28 06:34:38 UTC 14615  [5748a337.3917:176] LOG:  checkpoint complete: wrote 772427 buffers (36.8%); 0 transaction log file(s) added, 87 removed, 322 recycled; write=320.184 s, sync=0.110 s, total=320.486 s; sync files=52, longest=0.104 s, average=0.002 s; distance=6701050 kB, estimate=6701059 kB
1464417419.091 2016-05-28 06:36:59 UTC 14615  [5748a337.3917:177] LOG:  checkpoint starting: xlog
1464417473.718 2016-05-28 06:37:53 UTC 14615  [5748a337.3917:178] LOG:  checkpoint complete: wrote 771110 buffers (36.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=54.191 s, sync=0.002 s, total=54.627 s; sync files=52, longest=0.001 s, average=0.000 s; distance=6701055 kB, estimate=6701058 kB
1464417473.718 2016-05-28 06:37:53 UTC 14615  [5748a337.3917:179] LOG:  checkpoint starting: immediate force wait
1464417477.057 2016-05-28 06:37:57 UTC 14615  [5748a337.3917:180] LOG:  checkpoint complete: wrote 64540 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=2.695 s, sync=0.001 s, total=3.338 s; sync files=46, longest=0.000 s, average=0.000 s; distance=624669 kB, estimate=6093419 kB
1464417523.879 2016-05-28 06:38:43 UTC 14615  [5748a337.3917:181] LOG:  checkpoint starting: xlog
1464417566.190 2016-05-28 06:39:26 UTC 14615  [5748a337.3917:182] LOG:  checkpoint complete: wrote 205721 buffers (9.8%); 0 transaction log file(s) added, 0 removed, 38 recycled; write=41.933 s, sync=0.344 s, total=42.310 s; sync files=50, longest=0.045 s, average=0.006 s; distance=6702646 kB, estimate=6702646 kB
1464417728.634 2016-05-28 06:42:08 UTC 14615  [5748a337.3917:183] LOG:  checkpoint starting: xlog
1464418028.328 2016-05-28 06:47:08 UTC 14615  [5748a337.3917:184] LOG:  checkpoint complete: wrote 86371 buffers (4.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=299.455 s, sync=0.002 s, total=299.694 s; sync files=38, longest=0.000 s, average=0.000 s; distance=6697519 kB, estimate=6702134 kB
1464418328.437 2016-05-28 06:52:08 UTC 14615  [5748a337.3917:185] LOG:  checkpoint starting: time
1464418380.592 2016-05-28 06:53:00 UTC 14615  [5748a337.3917:186] LOG:  checkpoint complete: wrote 187672 buffers (8.9%); 0 transaction log file(s) added, 8 removed, 401 recycled; write=51.588 s, sync=0.002 s, total=52.154 s; sync files=30, longest=0.001 s, average=0.000 s; distance=115341 kB, estimate=6043454 kB
1464418380.592 2016-05-28 06:53:00 UTC 14615  [5748a337.3917:187] LOG:  checkpoint starting: immediate force wait
1464418381.219 2016-05-28 06:53:01 UTC 14615  [5748a337.3917:188] LOG:  checkpoint complete: wrote 22382 buffers (1.1%); 0 transaction log file(s) added, 7 removed, 0 recycled; write=0.614 s, sync=0.002 s, total=0.626 s; sync files=7, longest=0.001 s, average=0.000 s; distance=0 kB, estimate=5439109 kB
1464418432.163 2016-05-28 06:53:52 UTC 14615  [5748a337.3917:189] LOG:  checkpoint starting: xlog
1464418793.086 2016-05-28 06:59:53 UTC 14615  [5748a337.3917:190] LOG:  checkpoint complete: wrote 603032 buffers (28.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=357.220 s, sync=3.684 s, total=360.923 s; sync files=57, longest=0.306 s, average=0.064 s; distance=6700321 kB, estimate=6700321 kB
1464418793.087 2016-05-28 06:59:53 UTC 14615  [5748a337.3917:191] LOG:  checkpoint starting: xlog
1464419157.754 2016-05-28 07:05:57 UTC 14615  [5748a337.3917:192] LOG:  checkpoint complete: wrote 1025991 buffers (48.9%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=363.126 s, sync=1.503 s, total=364.667 s; sync files=54, longest=0.221 s, average=0.027 s; distance=20685443 kB, estimate=20685443 kB
1464419157.755 2016-05-28 07:05:57 UTC 14615  [5748a337.3917:193] LOG:  checkpoint starting: xlog
1464419498.756 2016-05-28 07:11:38 UTC 14615  [5748a337.3917:194] LOG:  checkpoint complete: wrote 817603 buffers (39.0%); 0 transaction log file(s) added, 1262 removed, 0 recycled; write=339.986 s, sync=0.959 s, total=341.001 s; sync files=54, longest=0.185 s, average=0.017 s; distance=17817982 kB, estimate=20398697 kB
1464419498.757 2016-05-28 07:11:38 UTC 14615  [5748a337.3917:195] LOG:  checkpoint starting: xlog
1464419803.453 2016-05-28 07:16:43 UTC 14615  [5748a337.3917:196] LOG:  checkpoint complete: wrote 785335 buffers (37.4%); 0 transaction log file(s) added, 1088 removed, 0 recycled; write=303.401 s, sync=1.238 s, total=304.695 s; sync files=54, longest=0.112 s, average=0.022 s; distance=16034261 kB, estimate=19962254 kB
1464419803.453 2016-05-28 07:16:43 UTC 14615  [5748a337.3917:197] LOG:  checkpoint starting: xlog
1464420137.438 2016-05-28 07:22:17 UTC 14615  [5748a337.3917:198] LOG:  checkpoint complete: wrote 694442 buffers (33.1%); 1 transaction log file(s) added, 978 removed, 0 recycled; write=331.322 s, sync=2.559 s, total=333.985 s; sync files=54, longest=0.273 s, average=0.047 s; distance=14670970 kB, estimate=19433125 kB
1464420137.439 2016-05-28 07:22:17 UTC 14615  [5748a337.3917:199] LOG:  checkpoint starting: xlog
1464420203.962 2016-05-28 07:23:23 UTC 14615  [5748a337.3917:200] LOG:  checkpoint complete: wrote 1079737 buffers (51.5%); 0 transaction log file(s) added, 896 removed, 0 recycled; write=66.484 s, sync=0.005 s, total=66.522 s; sync files=53, longest=0.001 s, average=0.000 s; distance=14743098 kB, estimate=18964122 kB
1464420203.962 2016-05-28 07:23:23 UTC 14615  [5748a337.3917:201] LOG:  checkpoint starting: immediate force wait
1464420210.140 2016-05-28 07:23:30 UTC 14615  [5748a337.3917:202] LOG:  checkpoint complete: wrote 215155 buffers (10.3%); 0 transaction log file(s) added, 16 removed, 884 recycled; write=5.196 s, sync=0.001 s, total=6.177 s; sync files=51, longest=0.000 s, average=0.000 s; distance=2278878 kB, estimate=17295598 kB
1464420226.927 2016-05-28 07:23:46 UTC 14615  [5748a337.3917:203] LOG:  checkpoints are occurring too frequently (23 seconds apart)
1464420226.927 2016-05-28 07:23:46 UTC 14615  [5748a337.3917:204] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464420226.928 2016-05-28 07:23:46 UTC 14615  [5748a337.3917:205] LOG:  checkpoint starting: xlog
1464420324.955 2016-05-28 07:25:24 UTC 14615  [5748a337.3917:206] LOG:  checkpoint complete: wrote 181217 buffers (8.6%); 0 transaction log file(s) added, 139 removed, 0 recycled; write=97.431 s, sync=0.587 s, total=98.027 s; sync files=43, longest=0.055 s, average=0.013 s; distance=6704988 kB, estimate=16236537 kB
1464420324.955 2016-05-28 07:25:24 UTC 14615  [5748a337.3917:207] LOG:  checkpoint starting: xlog
1464420390.167 2016-05-28 07:26:30 UTC 14615  [5748a337.3917:208] LOG:  checkpoint complete: wrote 211974 buffers (10.1%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=64.606 s, sync=0.583 s, total=65.211 s; sync files=39, longest=0.069 s, average=0.014 s; distance=12899730 kB, estimate=15902856 kB
1464420401.571 2016-05-28 07:26:41 UTC 14615  [5748a337.3917:209] LOG:  checkpoint starting: xlog
1464420470.029 2016-05-28 07:27:50 UTC 14615  [5748a337.3917:210] LOG:  checkpoint complete: wrote 155289 buffers (7.4%); 0 transaction log file(s) added, 377 removed, 410 recycled; write=68.028 s, sync=0.015 s, total=68.457 s; sync files=38, longest=0.008 s, average=0.000 s; distance=6690585 kB, estimate=14981629 kB
1464421001.156 2016-05-28 07:36:41 UTC 14615  [5748a337.3917:211] LOG:  checkpoint starting: time
1464421117.054 2016-05-28 07:38:37 UTC 14615  [5748a337.3917:212] LOG:  checkpoint complete: wrote 306891 buffers (14.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=115.368 s, sync=0.006 s, total=115.897 s; sync files=38, longest=0.003 s, average=0.000 s; distance=4356711 kB, estimate=13919137 kB
1464421117.054 2016-05-28 07:38:37 UTC 14615  [5748a337.3917:213] LOG:  checkpoint starting: immediate force wait
1464421118.798 2016-05-28 07:38:38 UTC 14615  [5748a337.3917:214] LOG:  checkpoint complete: wrote 61185 buffers (2.9%); 0 transaction log file(s) added, 0 removed, 265 recycled; write=1.380 s, sync=0.002 s, total=1.744 s; sync files=7, longest=0.001 s, average=0.000 s; distance=15 kB, estimate=12527225 kB
1464421186.459 2016-05-28 07:39:46 UTC 14615  [5748a337.3917:215] LOG:  checkpoint starting: xlog
1464421473.284 2016-05-28 07:44:33 UTC 14615  [5748a337.3917:216] LOG:  checkpoint complete: wrote 318158 buffers (15.2%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=286.508 s, sync=0.283 s, total=286.825 s; sync files=56, longest=0.263 s, average=0.005 s; distance=6685482 kB, estimate=11943051 kB
1464421473.284 2016-05-28 07:44:33 UTC 14615  [5748a337.3917:217] LOG:  checkpoint starting: xlog
1464421777.965 2016-05-28 07:49:37 UTC 14615  [5748a337.3917:218] LOG:  checkpoint complete: wrote 604360 buffers (28.8%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=303.611 s, sync=1.035 s, total=304.680 s; sync files=54, longest=0.179 s, average=0.019 s; distance=15319553 kB, estimate=15319553 kB
1464421777.965 2016-05-28 07:49:37 UTC 14615  [5748a337.3917:219] LOG:  checkpoint starting: xlog
1464422059.691 2016-05-28 07:54:19 UTC 14615  [5748a337.3917:220] LOG:  checkpoint complete: wrote 577790 buffers (27.6%); 0 transaction log file(s) added, 935 removed, 0 recycled; write=279.612 s, sync=2.059 s, total=281.726 s; sync files=53, longest=0.188 s, average=0.038 s; distance=14041915 kB, estimate=15191789 kB
1464422059.692 2016-05-28 07:54:19 UTC 14615  [5748a337.3917:221] LOG:  checkpoint starting: xlog
1464422342.393 2016-05-28 07:59:02 UTC 14615  [5748a337.3917:222] LOG:  checkpoint complete: wrote 549866 buffers (26.2%); 1 transaction log file(s) added, 857 removed, 0 recycled; write=280.886 s, sync=1.742 s, total=282.701 s; sync files=54, longest=0.216 s, average=0.032 s; distance=13590536 kB, estimate=15031664 kB
1464422342.393 2016-05-28 07:59:02 UTC 14615  [5748a337.3917:223] LOG:  checkpoint starting: xlog
1464422629.048 2016-05-28 08:03:49 UTC 14615  [5748a337.3917:224] LOG:  checkpoint complete: wrote 559361 buffers (26.7%); 1 transaction log file(s) added, 829 removed, 0 recycled; write=285.199 s, sync=1.371 s, total=286.654 s; sync files=54, longest=0.219 s, average=0.025 s; distance=13736469 kB, estimate=14902144 kB
1464422629.048 2016-05-28 08:03:49 UTC 14615  [5748a337.3917:225] LOG:  checkpoint starting: xlog
1464422920.725 2016-05-28 08:08:40 UTC 14615  [5748a337.3917:226] LOG:  checkpoint complete: wrote 611724 buffers (29.2%); 0 transaction log file(s) added, 838 removed, 0 recycled; write=291.620 s, sync=0.014 s, total=291.676 s; sync files=55, longest=0.010 s, average=0.000 s; distance=13517197 kB, estimate=14763650 kB
1464422920.725 2016-05-28 08:08:40 UTC 14615  [5748a337.3917:227] LOG:  checkpoint starting: immediate force wait xlog
1464422948.614 2016-05-28 08:09:08 UTC 14615  [5748a337.3917:228] LOG:  checkpoint complete: wrote 1175421 buffers (56.0%); 0 transaction log file(s) added, 636 removed, 190 recycled; write=27.647 s, sync=0.002 s, total=27.889 s; sync files=54, longest=0.001 s, average=0.000 s; distance=13650447 kB, estimate=14652329 kB
1464422969.258 2016-05-28 08:09:29 UTC 14615  [5748a337.3917:229] LOG:  checkpoint starting: xlog
1464423060.857 2016-05-28 08:11:00 UTC 14615  [5748a337.3917:230] LOG:  checkpoint complete: wrote 254222 buffers (12.1%); 1 transaction log file(s) added, 833 removed, 0 recycled; write=90.542 s, sync=0.992 s, total=91.598 s; sync files=54, longest=0.082 s, average=0.018 s; distance=6704305 kB, estimate=13857527 kB
1464423060.858 2016-05-28 08:11:00 UTC 14615  [5748a337.3917:231] LOG:  checkpoint starting: xlog
1464423136.851 2016-05-28 08:12:16 UTC 14615  [5748a337.3917:232] LOG:  checkpoint complete: wrote 152271 buffers (7.3%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=75.341 s, sync=0.604 s, total=75.993 s; sync files=38, longest=0.056 s, average=0.015 s; distance=13432496 kB, estimate=13815024 kB
1464423136.852 2016-05-28 08:12:16 UTC 14615  [5748a337.3917:233] LOG:  checkpoint starting: xlog
1464423222.993 2016-05-28 08:13:42 UTC 14615  [5748a337.3917:234] LOG:  checkpoint complete: wrote 129507 buffers (6.2%); 0 transaction log file(s) added, 432 removed, 388 recycled; write=85.696 s, sync=0.005 s, total=86.140 s; sync files=38, longest=0.001 s, average=0.000 s; distance=7051372 kB, estimate=13138659 kB
1464423737.117 2016-05-28 08:22:17 UTC 14615  [5748a337.3917:235] LOG:  checkpoint starting: time
1464423853.066 2016-05-28 08:24:13 UTC 14615  [5748a337.3917:236] LOG:  checkpoint complete: wrote 267732 buffers (12.8%); 0 transaction log file(s) added, 0 removed, 430 recycled; write=115.468 s, sync=0.004 s, total=115.949 s; sync files=38, longest=0.002 s, average=0.000 s; distance=3942767 kB, estimate=12219070 kB
1464423853.066 2016-05-28 08:24:13 UTC 14615  [5748a337.3917:237] LOG:  checkpoint starting: immediate force wait
1464423854.629 2016-05-28 08:24:14 UTC 14615  [5748a337.3917:238] LOG:  checkpoint complete: wrote 55923 buffers (2.7%); 0 transaction log file(s) added, 0 removed, 241 recycled; write=1.223 s, sync=0.002 s, total=1.562 s; sync files=7, longest=0.001 s, average=0.000 s; distance=0 kB, estimate=10997163 kB
1464423920.186 2016-05-28 08:25:20 UTC 14615  [5748a337.3917:239] LOG:  checkpoint starting: xlog
1464424227.083 2016-05-28 08:30:27 UTC 14615  [5748a337.3917:240] LOG:  checkpoint complete: wrote 264417 buffers (12.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=304.116 s, sync=2.712 s, total=306.897 s; sync files=55, longest=0.290 s, average=0.049 s; distance=6696882 kB, estimate=10567135 kB
1464424227.083 2016-05-28 08:30:27 UTC 14615  [5748a337.3917:241] LOG:  checkpoint starting: xlog
1464424522.885 2016-05-28 08:35:22 UTC 14615  [5748a337.3917:242] LOG:  checkpoint complete: wrote 522166 buffers (24.9%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=292.337 s, sync=3.432 s, total=295.801 s; sync files=53, longest=1.083 s, average=0.064 s; distance=16008011 kB, estimate=16008011 kB
1464424522.885 2016-05-28 08:35:22 UTC 14615  [5748a337.3917:243] LOG:  checkpoint starting: xlog
1464424809.983 2016-05-28 08:40:09 UTC 14615  [5748a337.3917:244] LOG:  checkpoint complete: wrote 493149 buffers (23.5%); 1 transaction log file(s) added, 977 removed, 0 recycled; write=283.554 s, sync=3.469 s, total=287.098 s; sync files=52, longest=0.437 s, average=0.066 s; distance=14385639 kB, estimate=15845774 kB
1464424809.984 2016-05-28 08:40:09 UTC 14615  [5748a337.3917:245] LOG:  checkpoint starting: xlog
1464425090.111 2016-05-28 08:44:50 UTC 14615  [5748a337.3917:246] LOG:  checkpoint complete: wrote 505327 buffers (24.1%); 0 transaction log file(s) added, 878 removed, 0 recycled; write=278.177 s, sync=1.907 s, total=280.126 s; sync files=51, longest=0.287 s, average=0.037 s; distance=14384465 kB, estimate=15699643 kB
1464425090.111 2016-05-28 08:44:50 UTC 14615  [5748a337.3917:247] LOG:  checkpoint starting: xlog
1464425383.085 2016-05-28 08:49:43 UTC 14615  [5748a337.3917:248] LOG:  checkpoint complete: wrote 493858 buffers (23.5%); 1 transaction log file(s) added, 878 removed, 0 recycled; write=291.432 s, sync=1.473 s, total=292.974 s; sync files=52, longest=0.242 s, average=0.028 s; distance=14321173 kB, estimate=15561796 kB
1464425383.086 2016-05-28 08:49:43 UTC 14615  [5748a337.3917:249] LOG:  checkpoint starting: xlog
1464425655.213 2016-05-28 08:54:15 UTC 34924  [57495cb4.886c:1] FATAL:  terminating autovacuum process due to administrator command
1464425656.135 2016-05-28 08:54:16 UTC 14615  [5748a337.3917:250] LOG:  checkpoint complete: wrote 488048 buffers (23.3%); 1 transaction log file(s) added, 874 removed, 0 recycled; write=272.957 s, sync=0.022 s, total=273.048 s; sync files=52, longest=0.003 s, average=0.000 s; distance=14596175 kB, estimate=15465234 kB
1464425656.135 2016-05-28 08:54:16 UTC 14615  [5748a337.3917:251] LOG:  checkpoint starting: xlog
1464425656.678 2016-05-28 08:54:16 UTC 14615  [5748a337.3917:252] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 719 removed, 172 recycled; write=0.275 s, sync=0.000 s, total=0.542 s; sync files=1, longest=0.000 s, average=0.000 s; distance=13940057 kB, estimate=15312716 kB
1464425656.678 2016-05-28 08:54:16 UTC 14615  [5748a337.3917:253] LOG:  checkpoint starting: immediate force wait
1464425657.660 2016-05-28 08:54:17 UTC 14615  [5748a337.3917:254] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 850 recycled; write=0.074 s, sync=0.000 s, total=0.982 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=13781445 kB
1464425663.997 2016-05-28 08:54:23 UTC 14615  [5748a337.3917:255] LOG:  checkpoint starting: immediate force wait flush-all
