1464536555.583 2016-05-29 15:42:35 UTC 11259  [574b0deb.2bfb:1] LOG:  database system was shut down at 2016-05-29 15:42:20 UTC
1464581629.366 2016-05-30 04:13:49 UTC 11260  [574b0deb.2bfc:305] LOG:  checkpoint starting: xlog
1464581697.535 2016-05-30 04:14:57 UTC 11260  [574b0deb.2bfc:306] LOG:  checkpoint complete: wrote 146106 buffers (7.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=67.700 s, sync=0.006 s, total=68.168 s; sync files=38, longest=0.001 s, average=0.000 s; distance=6694758 kB, estimate=7560621 kB
1464582229.672 2016-05-30 04:23:49 UTC 11260  [574b0deb.2bfc:307] LOG:  checkpoint starting: time
1464582365.309 2016-05-30 04:26:05 UTC 11260  [574b0deb.2bfc:308] LOG:  checkpoint complete: wrote 258151 buffers (12.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=134.961 s, sync=0.003 s, total=135.637 s; sync files=38, longest=0.001 s, average=0.000 s; distance=4357050 kB, estimate=7240264 kB
1464582365.309 2016-05-30 04:26:05 UTC 11260  [574b0deb.2bfc:309] LOG:  checkpoint starting: immediate force wait
1464582367.524 2016-05-30 04:26:07 UTC 11260  [574b0deb.2bfc:310] LOG:  checkpoint complete: wrote 66876 buffers (3.2%); 0 transaction log file(s) added, 0 removed, 266 recycled; write=1.595 s, sync=0.011 s, total=2.214 s; sync files=7, longest=0.008 s, average=0.001 s; distance=7 kB, estimate=6516238 kB
1464582434.296 2016-05-30 04:27:14 UTC 11260  [574b0deb.2bfc:311] LOG:  checkpoint starting: xlog
1464582474.483 2016-05-30 04:27:54 UTC 11260  [574b0deb.2bfc:312] LOG:  checkpoint complete: wrote 817458 buffers (39.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=40.162 s, sync=0.007 s, total=40.187 s; sync files=57, longest=0.001 s, average=0.000 s; distance=6697632 kB, estimate=6697632 kB
1464582509.279 2016-05-30 04:28:29 UTC 11260  [574b0deb.2bfc:313] LOG:  checkpoint starting: xlog
1464582547.357 2016-05-30 04:29:07 UTC 11260  [574b0deb.2bfc:314] LOG:  checkpoint complete: wrote 726553 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.609 s, sync=0.010 s, total=38.078 s; sync files=55, longest=0.003 s, average=0.000 s; distance=6701093 kB, estimate=6701093 kB
1464582581.443 2016-05-30 04:29:41 UTC 11260  [574b0deb.2bfc:315] LOG:  checkpoint starting: xlog
1464582618.917 2016-05-30 04:30:18 UTC 11260  [574b0deb.2bfc:316] LOG:  checkpoint complete: wrote 775056 buffers (37.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.930 s, sync=0.009 s, total=37.474 s; sync files=53, longest=0.005 s, average=0.000 s; distance=6700986 kB, estimate=6701082 kB
1464582653.590 2016-05-30 04:30:53 UTC 11260  [574b0deb.2bfc:317] LOG:  checkpoint starting: xlog
1464582694.183 2016-05-30 04:31:34 UTC 11260  [574b0deb.2bfc:318] LOG:  checkpoint complete: wrote 694742 buffers (33.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.133 s, sync=0.008 s, total=40.592 s; sync files=54, longest=0.003 s, average=0.000 s; distance=6701057 kB, estimate=6701080 kB
1464582728.483 2016-05-30 04:32:08 UTC 11260  [574b0deb.2bfc:319] LOG:  checkpoint starting: xlog
1464582768.400 2016-05-30 04:32:48 UTC 11260  [574b0deb.2bfc:320] LOG:  checkpoint complete: wrote 726023 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.433 s, sync=0.008 s, total=39.917 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701140 kB, estimate=6701140 kB
1464582802.877 2016-05-30 04:33:22 UTC 11260  [574b0deb.2bfc:321] LOG:  checkpoint starting: xlog
1464582844.391 2016-05-30 04:34:04 UTC 11260  [574b0deb.2bfc:322] LOG:  checkpoint complete: wrote 737984 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.058 s, sync=0.009 s, total=41.514 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701068 kB, estimate=6701133 kB
1464582878.994 2016-05-30 04:34:38 UTC 11260  [574b0deb.2bfc:323] LOG:  checkpoint starting: xlog
1464582923.430 2016-05-30 04:35:23 UTC 11260  [574b0deb.2bfc:324] LOG:  checkpoint complete: wrote 700630 buffers (33.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.988 s, sync=0.010 s, total=44.435 s; sync files=50, longest=0.006 s, average=0.000 s; distance=6701027 kB, estimate=6701122 kB
1464582957.529 2016-05-30 04:35:57 UTC 11260  [574b0deb.2bfc:325] LOG:  checkpoint starting: xlog
1464582996.989 2016-05-30 04:36:36 UTC 11260  [574b0deb.2bfc:326] LOG:  checkpoint complete: wrote 733674 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.973 s, sync=0.024 s, total=39.460 s; sync files=53, longest=0.018 s, average=0.000 s; distance=6701041 kB, estimate=6701114 kB
1464583031.217 2016-05-30 04:37:11 UTC 11260  [574b0deb.2bfc:327] LOG:  checkpoint starting: xlog
1464583070.798 2016-05-30 04:37:50 UTC 11260  [574b0deb.2bfc:328] LOG:  checkpoint complete: wrote 729037 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.753 s, sync=0.008 s, total=39.580 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701029 kB, estimate=6701105 kB
1464583104.761 2016-05-30 04:38:24 UTC 11260  [574b0deb.2bfc:329] LOG:  checkpoint starting: xlog
1464583145.095 2016-05-30 04:39:05 UTC 11260  [574b0deb.2bfc:330] LOG:  checkpoint complete: wrote 731665 buffers (34.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.902 s, sync=0.007 s, total=40.334 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701108 kB, estimate=6701108 kB
1464583179.272 2016-05-30 04:39:39 UTC 11260  [574b0deb.2bfc:331] LOG:  checkpoint starting: xlog
1464583218.671 2016-05-30 04:40:18 UTC 11260  [574b0deb.2bfc:332] LOG:  checkpoint complete: wrote 746562 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.934 s, sync=0.009 s, total=39.399 s; sync files=55, longest=0.006 s, average=0.000 s; distance=6701065 kB, estimate=6701104 kB
1464583253.200 2016-05-30 04:40:53 UTC 11260  [574b0deb.2bfc:333] LOG:  checkpoint starting: xlog
1464583295.399 2016-05-30 04:41:35 UTC 11260  [574b0deb.2bfc:334] LOG:  checkpoint complete: wrote 733272 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.714 s, sync=0.014 s, total=42.198 s; sync files=52, longest=0.008 s, average=0.000 s; distance=6701019 kB, estimate=6701095 kB
1464583329.605 2016-05-30 04:42:09 UTC 11260  [574b0deb.2bfc:335] LOG:  checkpoint starting: xlog
1464583371.862 2016-05-30 04:42:51 UTC 11260  [574b0deb.2bfc:336] LOG:  checkpoint complete: wrote 742362 buffers (35.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.813 s, sync=0.012 s, total=42.257 s; sync files=52, longest=0.007 s, average=0.000 s; distance=6701169 kB, estimate=6701169 kB
1464583406.411 2016-05-30 04:43:26 UTC 11260  [574b0deb.2bfc:337] LOG:  checkpoint starting: xlog
1464583445.037 2016-05-30 04:44:05 UTC 11260  [574b0deb.2bfc:338] LOG:  checkpoint complete: wrote 726779 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.179 s, sync=0.008 s, total=38.626 s; sync files=51, longest=0.002 s, average=0.000 s; distance=6700931 kB, estimate=6701145 kB
1464583478.997 2016-05-30 04:44:38 UTC 11260  [574b0deb.2bfc:339] LOG:  checkpoint starting: xlog
1464583518.208 2016-05-30 04:45:18 UTC 11260  [574b0deb.2bfc:340] LOG:  checkpoint complete: wrote 750566 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.769 s, sync=0.027 s, total=39.211 s; sync files=52, longest=0.019 s, average=0.000 s; distance=6701081 kB, estimate=6701138 kB
1464583552.841 2016-05-30 04:45:52 UTC 11260  [574b0deb.2bfc:341] LOG:  checkpoint starting: xlog
1464583593.199 2016-05-30 04:46:33 UTC 11260  [574b0deb.2bfc:342] LOG:  checkpoint complete: wrote 732788 buffers (34.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.897 s, sync=0.007 s, total=40.358 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6700988 kB, estimate=6701123 kB
1464583627.666 2016-05-30 04:47:07 UTC 11260  [574b0deb.2bfc:343] LOG:  checkpoint starting: xlog
1464583665.791 2016-05-30 04:47:45 UTC 11260  [574b0deb.2bfc:344] LOG:  checkpoint complete: wrote 739309 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.547 s, sync=0.012 s, total=38.124 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701168 kB, estimate=6701168 kB
1464583700.040 2016-05-30 04:48:20 UTC 11260  [574b0deb.2bfc:345] LOG:  checkpoint starting: xlog
1464583742.219 2016-05-30 04:49:02 UTC 11260  [574b0deb.2bfc:346] LOG:  checkpoint complete: wrote 746279 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.614 s, sync=0.012 s, total=42.179 s; sync files=54, longest=0.008 s, average=0.000 s; distance=6700973 kB, estimate=6701149 kB
1464583776.566 2016-05-30 04:49:36 UTC 11260  [574b0deb.2bfc:347] LOG:  checkpoint starting: xlog
1464583817.130 2016-05-30 04:50:17 UTC 11260  [574b0deb.2bfc:348] LOG:  checkpoint complete: wrote 727284 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.071 s, sync=0.015 s, total=40.564 s; sync files=49, longest=0.008 s, average=0.000 s; distance=6701061 kB, estimate=6701140 kB
1464583850.772 2016-05-30 04:50:50 UTC 11260  [574b0deb.2bfc:349] LOG:  checkpoint starting: xlog
1464583890.160 2016-05-30 04:51:30 UTC 11260  [574b0deb.2bfc:350] LOG:  checkpoint complete: wrote 753930 buffers (36.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.863 s, sync=0.019 s, total=39.387 s; sync files=53, longest=0.005 s, average=0.000 s; distance=6701086 kB, estimate=6701135 kB
1464583923.257 2016-05-30 04:52:03 UTC 11260  [574b0deb.2bfc:351] LOG:  checkpoint starting: xlog
1464583962.442 2016-05-30 04:52:42 UTC 11260  [574b0deb.2bfc:352] LOG:  checkpoint complete: wrote 775111 buffers (37.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.734 s, sync=0.008 s, total=39.184 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701065 kB, estimate=6701128 kB
1464583996.787 2016-05-30 04:53:16 UTC 11260  [574b0deb.2bfc:353] LOG:  checkpoint starting: xlog
1464584037.511 2016-05-30 04:53:57 UTC 11260  [574b0deb.2bfc:354] LOG:  checkpoint complete: wrote 745929 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.268 s, sync=0.008 s, total=40.723 s; sync files=53, longest=0.005 s, average=0.000 s; distance=6701065 kB, estimate=6701121 kB
1464584071.574 2016-05-30 04:54:31 UTC 11260  [574b0deb.2bfc:355] LOG:  checkpoint starting: xlog
1464584111.091 2016-05-30 04:55:11 UTC 11260  [574b0deb.2bfc:356] LOG:  checkpoint complete: wrote 751267 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.134 s, sync=0.009 s, total=39.517 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701090 kB, estimate=6701118 kB
1464584145.301 2016-05-30 04:55:45 UTC 11260  [574b0deb.2bfc:357] LOG:  checkpoint starting: xlog
1464584169.891 2016-05-30 04:56:09 UTC 11260  [574b0deb.2bfc:358] LOG:  checkpoint complete: wrote 437844 buffers (20.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=24.161 s, sync=0.000 s, total=24.589 s; sync files=0, longest=0.000 s, average=0.000 s; distance=6700986 kB, estimate=6701105 kB
1464584169.891 2016-05-30 04:56:09 UTC 11260  [574b0deb.2bfc:359] LOG:  checkpoint starting: immediate force wait
1464584170.812 2016-05-30 04:56:10 UTC 11260  [574b0deb.2bfc:360] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=0.077 s, sync=0.000 s, total=0.920 s; sync files=2, longest=0.000 s, average=0.000 s; distance=1894580 kB, estimate=6220453 kB
1464584176.780 2016-05-30 04:56:16 UTC 11260  [574b0deb.2bfc:361] LOG:  checkpoint starting: immediate force wait flush-all
1464584177.126 2016-05-30 04:56:17 UTC 11260  [574b0deb.2bfc:362] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 82 removed, 33 recycled; write=0.079 s, sync=0.000 s, total=0.345 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=5598407 kB
1464584177.254 2016-05-30 04:56:17 UTC 11260  [574b0deb.2bfc:363] LOG:  checkpoint starting: immediate force wait
1464584177.334 2016-05-30 04:56:17 UTC 11260  [574b0deb.2bfc:364] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.078 s, sync=0.000 s, total=0.080 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=5038567 kB
1464584777.310 2016-05-30 05:06:17 UTC 11260  [574b0deb.2bfc:365] LOG:  checkpoint starting: time
1464585077.081 2016-05-30 05:11:17 UTC 11260  [574b0deb.2bfc:366] LOG:  checkpoint complete: wrote 278 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.766 s, sync=0.001 s, total=299.770 s; sync files=75, longest=0.000 s, average=0.000 s; distance=260025 kB, estimate=4560712 kB
1464585645.072 2016-05-30 05:20:45 UTC 11260  [574b0deb.2bfc:367] LOG:  checkpoint starting: immediate force wait
1464585645.188 2016-05-30 05:20:45 UTC 11260  [574b0deb.2bfc:368] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 16 removed, 0 recycled; write=0.089 s, sync=0.000 s, total=0.115 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=4104641 kB
1464586245.288 2016-05-30 05:30:45 UTC 11260  [574b0deb.2bfc:369] LOG:  checkpoint starting: time
1464586245.658 2016-05-30 05:30:45 UTC 11260  [574b0deb.2bfc:370] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.367 s, sync=0.000 s, total=0.370 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=3694178 kB
1464586545.345 2016-05-30 05:35:45 UTC 11260  [574b0deb.2bfc:371] LOG:  checkpoint starting: immediate force wait
1464586545.415 2016-05-30 05:35:45 UTC 11260  [574b0deb.2bfc:372] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.068 s, sync=0.000 s, total=0.070 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3324760 kB
1464587145.517 2016-05-30 05:45:45 UTC 11260  [574b0deb.2bfc:373] LOG:  checkpoint starting: time
1464587445.079 2016-05-30 05:50:45 UTC 11260  [574b0deb.2bfc:374] LOG:  checkpoint complete: wrote 754645 buffers (36.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.548 s, sync=0.007 s, total=299.561 s; sync files=57, longest=0.002 s, average=0.000 s; distance=5908552 kB, estimate=5908552 kB
1464587745.180 2016-05-30 05:55:45 UTC 11260  [574b0deb.2bfc:375] LOG:  checkpoint starting: time
1464588044.534 2016-05-30 06:00:44 UTC 11260  [574b0deb.2bfc:376] LOG:  checkpoint complete: wrote 688348 buffers (32.8%); 0 transaction log file(s) added, 0 removed, 361 recycled; write=299.042 s, sync=0.003 s, total=299.354 s; sync files=52, longest=0.000 s, average=0.000 s; distance=5828329 kB, estimate=5900530 kB
1464588345.557 2016-05-30 06:05:45 UTC 11260  [574b0deb.2bfc:377] LOG:  checkpoint starting: immediate force wait time
1464588364.579 2016-05-30 06:06:04 UTC 11260  [574b0deb.2bfc:378] LOG:  checkpoint complete: wrote 708248 buffers (33.8%); 0 transaction log file(s) added, 0 removed, 355 recycled; write=18.593 s, sync=0.001 s, total=19.022 s; sync files=53, longest=0.000 s, average=0.000 s; distance=5925933 kB, estimate=5925933 kB
1464588451.346 2016-05-30 06:07:31 UTC 11260  [574b0deb.2bfc:379] LOG:  checkpoint starting: xlog
1464588751.208 2016-05-30 06:12:31 UTC 11260  [574b0deb.2bfc:380] LOG:  checkpoint complete: wrote 62035 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 362 recycled; write=299.672 s, sync=0.004 s, total=299.862 s; sync files=50, longest=0.000 s, average=0.000 s; distance=6695052 kB, estimate=6695052 kB
1464589051.315 2016-05-30 06:17:31 UTC 11260  [574b0deb.2bfc:381] LOG:  checkpoint starting: time
1464589266.231 2016-05-30 06:21:06 UTC 11260  [574b0deb.2bfc:382] LOG:  checkpoint complete: wrote 123701 buffers (5.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=214.257 s, sync=0.002 s, total=214.915 s; sync files=38, longest=0.000 s, average=0.000 s; distance=2454859 kB, estimate=6271032 kB
1464589266.231 2016-05-30 06:21:06 UTC 11260  [574b0deb.2bfc:383] LOG:  checkpoint starting: immediate force wait
1464589268.019 2016-05-30 06:21:08 UTC 11260  [574b0deb.2bfc:384] LOG:  checkpoint complete: wrote 55514 buffers (2.6%); 0 transaction log file(s) added, 0 removed, 150 recycled; write=1.455 s, sync=0.002 s, total=1.788 s; sync files=7, longest=0.000 s, average=0.000 s; distance=15 kB, estimate=5643931 kB
1464589344.661 2016-05-30 06:22:24 UTC 11260  [574b0deb.2bfc:385] LOG:  checkpoint starting: xlog
1464589385.287 2016-05-30 06:23:05 UTC 11260  [574b0deb.2bfc:386] LOG:  checkpoint complete: wrote 849637 buffers (40.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=40.599 s, sync=0.009 s, total=40.625 s; sync files=55, longest=0.003 s, average=0.000 s; distance=6700537 kB, estimate=6700537 kB
1464589425.573 2016-05-30 06:23:45 UTC 11260  [574b0deb.2bfc:387] LOG:  checkpoint starting: xlog
1464589469.821 2016-05-30 06:24:29 UTC 11260  [574b0deb.2bfc:388] LOG:  checkpoint complete: wrote 797286 buffers (38.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.853 s, sync=0.013 s, total=44.247 s; sync files=53, longest=0.005 s, average=0.000 s; distance=6701039 kB, estimate=6701039 kB
1464589511.831 2016-05-30 06:25:11 UTC 11260  [574b0deb.2bfc:389] LOG:  checkpoint starting: xlog
1464589556.470 2016-05-30 06:25:56 UTC 11260  [574b0deb.2bfc:390] LOG:  checkpoint complete: wrote 788754 buffers (37.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.219 s, sync=0.010 s, total=44.639 s; sync files=53, longest=0.002 s, average=0.000 s; distance=6701058 kB, estimate=6701058 kB
1464589599.616 2016-05-30 06:26:39 UTC 11260  [574b0deb.2bfc:391] LOG:  checkpoint starting: xlog
1464589648.080 2016-05-30 06:27:28 UTC 11260  [574b0deb.2bfc:392] LOG:  checkpoint complete: wrote 803243 buffers (38.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=48.028 s, sync=0.018 s, total=48.463 s; sync files=53, longest=0.008 s, average=0.000 s; distance=6701072 kB, estimate=6701072 kB
1464589692.306 2016-05-30 06:28:12 UTC 11260  [574b0deb.2bfc:393] LOG:  checkpoint starting: xlog
1464589738.307 2016-05-30 06:28:58 UTC 11260  [574b0deb.2bfc:394] LOG:  checkpoint complete: wrote 793827 buffers (37.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=45.598 s, sync=0.014 s, total=46.001 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701036 kB, estimate=6701068 kB
1464589784.419 2016-05-30 06:29:44 UTC 11260  [574b0deb.2bfc:395] LOG:  checkpoint starting: xlog
1464589832.984 2016-05-30 06:30:32 UTC 11260  [574b0deb.2bfc:396] LOG:  checkpoint complete: wrote 801632 buffers (38.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=47.792 s, sync=0.009 s, total=48.565 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701056 kB, estimate=6701067 kB
1464589879.440 2016-05-30 06:31:19 UTC 11260  [574b0deb.2bfc:397] LOG:  checkpoint starting: xlog
1464589931.559 2016-05-30 06:32:11 UTC 11260  [574b0deb.2bfc:398] LOG:  checkpoint complete: wrote 793632 buffers (37.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=51.694 s, sync=0.014 s, total=52.119 s; sync files=54, longest=0.007 s, average=0.000 s; distance=6701046 kB, estimate=6701065 kB
1464589979.367 2016-05-30 06:32:59 UTC 11260  [574b0deb.2bfc:399] LOG:  checkpoint starting: xlog
1464590029.443 2016-05-30 06:33:49 UTC 11260  [574b0deb.2bfc:400] LOG:  checkpoint complete: wrote 798218 buffers (38.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=49.662 s, sync=0.011 s, total=50.076 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701075 kB, estimate=6701075 kB
1464590078.887 2016-05-30 06:34:38 UTC 11260  [574b0deb.2bfc:401] LOG:  checkpoint starting: xlog
1464590130.918 2016-05-30 06:35:30 UTC 11260  [574b0deb.2bfc:402] LOG:  checkpoint complete: wrote 789343 buffers (37.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=51.589 s, sync=0.014 s, total=52.031 s; sync files=54, longest=0.006 s, average=0.000 s; distance=6701024 kB, estimate=6701070 kB
1464590181.836 2016-05-30 06:36:21 UTC 11260  [574b0deb.2bfc:403] LOG:  checkpoint starting: xlog
1464590235.025 2016-05-30 06:37:15 UTC 11260  [574b0deb.2bfc:404] LOG:  checkpoint complete: wrote 794445 buffers (37.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=52.780 s, sync=0.012 s, total=53.188 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701104 kB, estimate=6701104 kB
1464590286.826 2016-05-30 06:38:06 UTC 11260  [574b0deb.2bfc:405] LOG:  checkpoint starting: xlog
1464590338.668 2016-05-30 06:38:58 UTC 11260  [574b0deb.2bfc:406] LOG:  checkpoint complete: wrote 780350 buffers (37.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=51.482 s, sync=0.008 s, total=51.841 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701045 kB, estimate=6701098 kB
1464590391.892 2016-05-30 06:39:51 UTC 11260  [574b0deb.2bfc:407] LOG:  checkpoint starting: xlog
1464590445.663 2016-05-30 06:40:45 UTC 11260  [574b0deb.2bfc:408] LOG:  checkpoint complete: wrote 786271 buffers (37.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=53.347 s, sync=0.009 s, total=53.770 s; sync files=54, longest=0.005 s, average=0.000 s; distance=6701045 kB, estimate=6701093 kB
1464590499.302 2016-05-30 06:41:39 UTC 11260  [574b0deb.2bfc:409] LOG:  checkpoint starting: xlog
1464590553.933 2016-05-30 06:42:33 UTC 11260  [574b0deb.2bfc:410] LOG:  checkpoint complete: wrote 772681 buffers (36.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=54.216 s, sync=0.024 s, total=54.630 s; sync files=52, longest=0.011 s, average=0.000 s; distance=6701059 kB, estimate=6701090 kB
1464590609.372 2016-05-30 06:43:29 UTC 11260  [574b0deb.2bfc:411] LOG:  checkpoint starting: xlog
1464590664.106 2016-05-30 06:44:24 UTC 11260  [574b0deb.2bfc:412] LOG:  checkpoint complete: wrote 778721 buffers (37.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=54.337 s, sync=0.007 s, total=54.734 s; sync files=54, longest=0.001 s, average=0.000 s; distance=6701039 kB, estimate=6701085 kB
1464590719.184 2016-05-30 06:45:19 UTC 11260  [574b0deb.2bfc:413] LOG:  checkpoint starting: xlog
1464590777.128 2016-05-30 06:46:17 UTC 11260  [574b0deb.2bfc:414] LOG:  checkpoint complete: wrote 766663 buffers (36.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=57.381 s, sync=0.007 s, total=57.943 s; sync files=53, longest=0.003 s, average=0.000 s; distance=6701070 kB, estimate=6701083 kB
1464590829.754 2016-05-30 06:47:09 UTC 11260  [574b0deb.2bfc:415] LOG:  checkpoint starting: xlog
1464590887.250 2016-05-30 06:48:07 UTC 11260  [574b0deb.2bfc:416] LOG:  checkpoint complete: wrote 764856 buffers (36.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=57.115 s, sync=0.009 s, total=57.496 s; sync files=54, longest=0.004 s, average=0.000 s; distance=6701061 kB, estimate=6701081 kB
1464590943.698 2016-05-30 06:49:03 UTC 11260  [574b0deb.2bfc:417] LOG:  checkpoint starting: xlog
1464591004.422 2016-05-30 06:50:04 UTC 11260  [574b0deb.2bfc:418] LOG:  checkpoint complete: wrote 762509 buffers (36.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=60.321 s, sync=0.006 s, total=60.723 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701083 kB, estimate=6701083 kB
1464591061.539 2016-05-30 06:51:01 UTC 11260  [574b0deb.2bfc:419] LOG:  checkpoint starting: xlog
1464591089.306 2016-05-30 06:51:29 UTC 11260  [574b0deb.2bfc:420] LOG:  checkpoint complete: wrote 792161 buffers (37.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=27.231 s, sync=0.001 s, total=27.766 s; sync files=52, longest=0.000 s, average=0.000 s; distance=6701012 kB, estimate=6701076 kB
1464591089.306 2016-05-30 06:51:29 UTC 11260  [574b0deb.2bfc:421] LOG:  checkpoint starting: immediate force wait
1464591092.498 2016-05-30 06:51:32 UTC 11260  [574b0deb.2bfc:422] LOG:  checkpoint complete: wrote 44339 buffers (2.1%); 0 transaction log file(s) added, 3 removed, 406 recycled; write=2.211 s, sync=0.088 s, total=3.191 s; sync files=41, longest=0.081 s, average=0.002 s; distance=421797 kB, estimate=6073148 kB
1464591093.602 2016-05-30 06:51:33 UTC 45848  [574be2f4.b318:1] ERROR:  canceling autovacuum task
1464591093.602 2016-05-30 06:51:33 UTC 45848  [574be2f4.b318:2] CONTEXT:  automatic vacuum of table "pgbench.public.pgbench_tellers"
1464591107.294 2016-05-30 06:51:47 UTC 11260  [574b0deb.2bfc:423] LOG:  checkpoints are occurring too frequently (18 seconds apart)
1464591107.294 2016-05-30 06:51:47 UTC 11260  [574b0deb.2bfc:424] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464591107.294 2016-05-30 06:51:47 UTC 11260  [574b0deb.2bfc:425] LOG:  checkpoint starting: xlog
1464591149.744 2016-05-30 06:52:29 UTC 11260  [574b0deb.2bfc:426] LOG:  checkpoint complete: wrote 599438 buffers (28.6%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=42.181 s, sync=0.226 s, total=42.449 s; sync files=50, longest=0.148 s, average=0.004 s; distance=6691644 kB, estimate=6691644 kB
1464591149.744 2016-05-30 06:52:29 UTC 11260  [574b0deb.2bfc:427] LOG:  checkpoint starting: xlog
1464591196.939 2016-05-30 06:53:16 UTC 11260  [574b0deb.2bfc:428] LOG:  checkpoint complete: wrote 472438 buffers (22.5%); 0 transaction log file(s) added, 151 removed, 258 recycled; write=46.893 s, sync=0.012 s, total=47.194 s; sync files=40, longest=0.008 s, average=0.000 s; distance=6757360 kB, estimate=6757360 kB
1464591201.110 2016-05-30 06:53:21 UTC 11260  [574b0deb.2bfc:429] LOG:  checkpoint starting: xlog
