1464698282.799 2016-05-31 12:38:02 UTC 3336  [574d85aa.d08:1] LOG:  database system was shut down at 2016-05-31 12:37:50 UTC
1464741323.529 2016-06-01 00:35:23 UTC 3337  [574d85aa.d09:249] LOG:  checkpoint starting: immediate force wait
1464741325.999 2016-06-01 00:35:25 UTC 3337  [574d85aa.d09:250] LOG:  checkpoint complete: wrote 75769 buffers (3.6%); 0 transaction log file(s) added, 33 removed, 277 recycled; write=1.774 s, sync=0.002 s, total=2.469 s; sync files=7, longest=0.001 s, average=0.000 s; distance=7 kB, estimate=5891127 kB
1464741390.383 2016-06-01 00:36:30 UTC 3337  [574d85aa.d09:251] LOG:  checkpoint starting: xlog
1464741438.106 2016-06-01 00:37:18 UTC 3337  [574d85aa.d09:252] LOG:  checkpoint complete: wrote 818085 buffers (39.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=47.694 s, sync=0.009 s, total=47.722 s; sync files=57, longest=0.003 s, average=0.000 s; distance=6690962 kB, estimate=6690962 kB
1464741473.030 2016-06-01 00:37:53 UTC 3337  [574d85aa.d09:253] LOG:  checkpoint starting: xlog
1464741514.524 2016-06-01 00:38:34 UTC 3337  [574d85aa.d09:254] LOG:  checkpoint complete: wrote 718395 buffers (34.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.093 s, sync=0.006 s, total=41.494 s; sync files=50, longest=0.003 s, average=0.000 s; distance=6701056 kB, estimate=6701056 kB
1464741547.790 2016-06-01 00:39:07 UTC 3337  [574d85aa.d09:255] LOG:  checkpoint starting: xlog
1464741587.065 2016-06-01 00:39:47 UTC 3337  [574d85aa.d09:256] LOG:  checkpoint complete: wrote 778405 buffers (37.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.977 s, sync=0.007 s, total=39.275 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701039 kB, estimate=6701055 kB
1464741620.723 2016-06-01 00:40:20 UTC 3337  [574d85aa.d09:257] LOG:  checkpoint starting: xlog
1464741665.809 2016-06-01 00:41:05 UTC 3337  [574d85aa.d09:258] LOG:  checkpoint complete: wrote 698070 buffers (33.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.699 s, sync=0.008 s, total=45.086 s; sync files=54, longest=0.004 s, average=0.000 s; distance=6701082 kB, estimate=6701082 kB
1464741699.710 2016-06-01 00:41:39 UTC 3337  [574d85aa.d09:259] LOG:  checkpoint starting: xlog
1464741742.363 2016-06-01 00:42:22 UTC 3337  [574d85aa.d09:260] LOG:  checkpoint complete: wrote 733832 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.307 s, sync=0.007 s, total=42.652 s; sync files=53, longest=0.006 s, average=0.000 s; distance=6701067 kB, estimate=6701081 kB
1464741777.262 2016-06-01 00:42:57 UTC 3337  [574d85aa.d09:261] LOG:  checkpoint starting: xlog
1464741821.990 2016-06-01 00:43:41 UTC 3337  [574d85aa.d09:262] LOG:  checkpoint complete: wrote 736534 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.364 s, sync=0.008 s, total=44.727 s; sync files=51, longest=0.003 s, average=0.000 s; distance=6701046 kB, estimate=6701077 kB
1464741854.420 2016-06-01 00:44:14 UTC 3337  [574d85aa.d09:263] LOG:  checkpoint starting: xlog
1464741894.192 2016-06-01 00:44:54 UTC 3337  [574d85aa.d09:264] LOG:  checkpoint complete: wrote 746560 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.359 s, sync=0.015 s, total=39.772 s; sync files=54, longest=0.005 s, average=0.000 s; distance=6701036 kB, estimate=6701073 kB
1464741928.871 2016-06-01 00:45:28 UTC 3337  [574d85aa.d09:265] LOG:  checkpoint starting: xlog
1464741971.336 2016-06-01 00:46:11 UTC 3337  [574d85aa.d09:266] LOG:  checkpoint complete: wrote 756400 buffers (36.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.076 s, sync=0.011 s, total=42.465 s; sync files=53, longest=0.007 s, average=0.000 s; distance=6701065 kB, estimate=6701072 kB
1464742005.858 2016-06-01 00:46:45 UTC 3337  [574d85aa.d09:267] LOG:  checkpoint starting: xlog
1464742048.211 2016-06-01 00:47:28 UTC 3337  [574d85aa.d09:268] LOG:  checkpoint complete: wrote 732577 buffers (34.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.964 s, sync=0.010 s, total=42.353 s; sync files=52, longest=0.007 s, average=0.000 s; distance=6701065 kB, estimate=6701072 kB
1464742082.879 2016-06-01 00:48:02 UTC 3337  [574d85aa.d09:269] LOG:  checkpoint starting: xlog
1464742124.870 2016-06-01 00:48:44 UTC 3337  [574d85aa.d09:270] LOG:  checkpoint complete: wrote 735402 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.628 s, sync=0.005 s, total=41.991 s; sync files=51, longest=0.001 s, average=0.000 s; distance=6701053 kB, estimate=6701070 kB
1464742160.188 2016-06-01 00:49:20 UTC 3337  [574d85aa.d09:271] LOG:  checkpoint starting: xlog
1464742201.121 2016-06-01 00:50:01 UTC 3337  [574d85aa.d09:272] LOG:  checkpoint complete: wrote 738187 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.589 s, sync=0.004 s, total=40.932 s; sync files=54, longest=0.002 s, average=0.000 s; distance=6701075 kB, estimate=6701075 kB
1464742235.262 2016-06-01 00:50:35 UTC 3337  [574d85aa.d09:273] LOG:  checkpoint starting: xlog
1464742276.783 2016-06-01 00:51:16 UTC 3337  [574d85aa.d09:274] LOG:  checkpoint complete: wrote 739554 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.146 s, sync=0.008 s, total=41.520 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701025 kB, estimate=6701070 kB
1464742311.639 2016-06-01 00:51:51 UTC 3337  [574d85aa.d09:275] LOG:  checkpoint starting: xlog
1464742356.456 2016-06-01 00:52:36 UTC 3337  [574d85aa.d09:276] LOG:  checkpoint complete: wrote 742042 buffers (35.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.402 s, sync=0.013 s, total=44.816 s; sync files=51, longest=0.007 s, average=0.000 s; distance=6701131 kB, estimate=6701131 kB
1464742391.273 2016-06-01 00:53:11 UTC 3337  [574d85aa.d09:277] LOG:  checkpoint starting: xlog
1464742431.706 2016-06-01 00:53:51 UTC 3337  [574d85aa.d09:278] LOG:  checkpoint complete: wrote 729555 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.044 s, sync=0.006 s, total=40.433 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701000 kB, estimate=6701118 kB
1464742466.453 2016-06-01 00:54:26 UTC 3337  [574d85aa.d09:279] LOG:  checkpoint starting: xlog
1464742510.852 2016-06-01 00:55:10 UTC 3337  [574d85aa.d09:280] LOG:  checkpoint complete: wrote 744447 buffers (35.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.012 s, sync=0.004 s, total=44.398 s; sync files=54, longest=0.002 s, average=0.000 s; distance=6701026 kB, estimate=6701109 kB
1464742545.986 2016-06-01 00:55:45 UTC 3337  [574d85aa.d09:281] LOG:  checkpoint starting: xlog
1464742592.188 2016-06-01 00:56:32 UTC 3337  [574d85aa.d09:282] LOG:  checkpoint complete: wrote 730577 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=45.843 s, sync=0.016 s, total=46.202 s; sync files=52, longest=0.011 s, average=0.000 s; distance=6701072 kB, estimate=6701105 kB
1464742626.423 2016-06-01 00:57:06 UTC 3337  [574d85aa.d09:283] LOG:  checkpoint starting: xlog
1464742668.876 2016-06-01 00:57:48 UTC 3337  [574d85aa.d09:284] LOG:  checkpoint complete: wrote 750071 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.143 s, sync=0.010 s, total=42.453 s; sync files=54, longest=0.007 s, average=0.000 s; distance=6701066 kB, estimate=6701101 kB
1464742703.996 2016-06-01 00:58:23 UTC 3337  [574d85aa.d09:285] LOG:  checkpoint starting: xlog
1464742746.328 2016-06-01 00:59:06 UTC 3337  [574d85aa.d09:286] LOG:  checkpoint complete: wrote 733568 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.010 s, sync=0.006 s, total=42.332 s; sync files=56, longest=0.002 s, average=0.000 s; distance=6701107 kB, estimate=6701107 kB
1464742780.222 2016-06-01 00:59:40 UTC 3337  [574d85aa.d09:287] LOG:  checkpoint starting: xlog
1464742820.532 2016-06-01 01:00:20 UTC 3337  [574d85aa.d09:288] LOG:  checkpoint complete: wrote 746067 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.938 s, sync=0.004 s, total=40.310 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6700977 kB, estimate=6701094 kB
1464742856.868 2016-06-01 01:00:56 UTC 3337  [574d85aa.d09:289] LOG:  checkpoint starting: xlog
1464742899.719 2016-06-01 01:01:39 UTC 3337  [574d85aa.d09:290] LOG:  checkpoint complete: wrote 743060 buffers (35.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.473 s, sync=0.008 s, total=42.850 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701055 kB, estimate=6701090 kB
1464742935.589 2016-06-01 01:02:15 UTC 3337  [574d85aa.d09:291] LOG:  checkpoint starting: xlog
1464742980.409 2016-06-01 01:03:00 UTC 3337  [574d85aa.d09:292] LOG:  checkpoint complete: wrote 730705 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.346 s, sync=0.004 s, total=44.819 s; sync files=53, longest=0.001 s, average=0.000 s; distance=6701062 kB, estimate=6701087 kB
1464743015.534 2016-06-01 01:03:35 UTC 3337  [574d85aa.d09:293] LOG:  checkpoint starting: xlog
1464743060.010 2016-06-01 01:04:20 UTC 3337  [574d85aa.d09:294] LOG:  checkpoint complete: wrote 743561 buffers (35.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.987 s, sync=0.005 s, total=44.475 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701088 kB, estimate=6701088 kB
1464743095.773 2016-06-01 01:04:55 UTC 3337  [574d85aa.d09:295] LOG:  checkpoint starting: xlog
1464743134.247 2016-06-01 01:05:34 UTC 3337  [574d85aa.d09:296] LOG:  checkpoint complete: wrote 750704 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.943 s, sync=0.006 s, total=38.473 s; sync files=51, longest=0.002 s, average=0.000 s; distance=6701020 kB, estimate=6701081 kB
1464743134.248 2016-06-01 01:05:34 UTC 3337  [574d85aa.d09:297] LOG:  checkpoint starting: immediate force wait
1464743142.087 2016-06-01 01:05:42 UTC 3337  [574d85aa.d09:298] LOG:  checkpoint complete: wrote 281831 buffers (13.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=7.101 s, sync=0.001 s, total=7.838 s; sync files=51, longest=0.000 s, average=0.000 s; distance=2527360 kB, estimate=6283709 kB
1464743158.084 2016-06-01 01:05:58 UTC 3337  [574d85aa.d09:299] LOG:  checkpoints are occurring too frequently (24 seconds apart)
1464743158.084 2016-06-01 01:05:58 UTC 3337  [574d85aa.d09:300] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464743158.084 2016-06-01 01:05:58 UTC 3337  [574d85aa.d09:301] LOG:  checkpoint starting: xlog
1464743197.258 2016-06-01 01:06:37 UTC 3337  [574d85aa.d09:302] LOG:  checkpoint complete: wrote 542613 buffers (25.9%); 0 transaction log file(s) added, 19 removed, 135 recycled; write=38.985 s, sync=0.021 s, total=39.173 s; sync files=50, longest=0.007 s, average=0.000 s; distance=6698584 kB, estimate=6698584 kB
1464743197.258 2016-06-01 01:06:37 UTC 3337  [574d85aa.d09:303] LOG:  checkpoint starting: xlog
1464743240.913 2016-06-01 01:07:20 UTC 3337  [574d85aa.d09:304] LOG:  checkpoint complete: wrote 548577 buffers (26.2%); 0 transaction log file(s) added, 188 removed, 221 recycled; write=43.459 s, sync=0.005 s, total=43.654 s; sync files=40, longest=0.000 s, average=0.000 s; distance=7897083 kB, estimate=7897083 kB
1464743249.032 2016-06-01 01:07:29 UTC 3337  [574d85aa.d09:305] LOG:  checkpoint starting: xlog
1464743279.564 2016-06-01 01:07:59 UTC 3337  [574d85aa.d09:306] LOG:  checkpoint complete: wrote 307802 buffers (14.7%); 0 transaction log file(s) added, 93 removed, 389 recycled; write=29.733 s, sync=0.013 s, total=30.532 s; sync files=38, longest=0.001 s, average=0.000 s; distance=6702413 kB, estimate=7777616 kB
1464743309.009 2016-06-01 01:08:29 UTC 3337  [574d85aa.d09:307] LOG:  checkpoint starting: xlog
1464743388.482 2016-06-01 01:09:48 UTC 3337  [574d85aa.d09:308] LOG:  checkpoint complete: wrote 150152 buffers (7.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=79.072 s, sync=0.006 s, total=79.473 s; sync files=38, longest=0.002 s, average=0.000 s; distance=6701933 kB, estimate=7670047 kB
1464743909.608 2016-06-01 01:18:29 UTC 3337  [574d85aa.d09:309] LOG:  checkpoint starting: time
1464744045.899 2016-06-01 01:20:45 UTC 3337  [574d85aa.d09:310] LOG:  checkpoint complete: wrote 243473 buffers (11.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=135.725 s, sync=0.007 s, total=136.291 s; sync files=38, longest=0.004 s, average=0.000 s; distance=4267064 kB, estimate=7329749 kB
1464744045.899 2016-06-01 01:20:45 UTC 3337  [574d85aa.d09:311] LOG:  checkpoint starting: immediate force wait
1464744047.808 2016-06-01 01:20:47 UTC 3337  [574d85aa.d09:312] LOG:  checkpoint complete: wrote 62009 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 260 recycled; write=1.464 s, sync=0.002 s, total=1.908 s; sync files=7, longest=0.001 s, average=0.000 s; distance=7 kB, estimate=6596775 kB
1464744114.500 2016-06-01 01:21:54 UTC 3337  [574d85aa.d09:313] LOG:  checkpoint starting: xlog
1464744155.333 2016-06-01 01:22:35 UTC 3337  [574d85aa.d09:314] LOG:  checkpoint complete: wrote 816808 buffers (38.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=40.811 s, sync=0.004 s, total=40.832 s; sync files=55, longest=0.001 s, average=0.000 s; distance=6689838 kB, estimate=6689838 kB
1464744190.623 2016-06-01 01:23:10 UTC 3337  [574d85aa.d09:315] LOG:  checkpoint starting: xlog
1464744230.781 2016-06-01 01:23:50 UTC 3337  [574d85aa.d09:316] LOG:  checkpoint complete: wrote 714028 buffers (34.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.791 s, sync=0.004 s, total=40.157 s; sync files=51, longest=0.002 s, average=0.000 s; distance=6701096 kB, estimate=6701096 kB
1464744265.379 2016-06-01 01:24:25 UTC 3337  [574d85aa.d09:317] LOG:  checkpoint starting: xlog
1464744306.404 2016-06-01 01:25:06 UTC 3337  [574d85aa.d09:318] LOG:  checkpoint complete: wrote 775076 buffers (37.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.604 s, sync=0.006 s, total=41.025 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701124 kB, estimate=6701124 kB
1464744341.078 2016-06-01 01:25:41 UTC 3337  [574d85aa.d09:319] LOG:  checkpoint starting: xlog
1464744381.814 2016-06-01 01:26:21 UTC 3337  [574d85aa.d09:320] LOG:  checkpoint complete: wrote 695109 buffers (33.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.421 s, sync=0.008 s, total=40.735 s; sync files=51, longest=0.004 s, average=0.000 s; distance=6701041 kB, estimate=6701115 kB
1464744416.294 2016-06-01 01:26:56 UTC 3337  [574d85aa.d09:321] LOG:  checkpoint starting: xlog
1464744455.760 2016-06-01 01:27:35 UTC 3337  [574d85aa.d09:322] LOG:  checkpoint complete: wrote 724809 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.159 s, sync=0.008 s, total=39.465 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6700988 kB, estimate=6701103 kB
1464744490.197 2016-06-01 01:28:10 UTC 3337  [574d85aa.d09:323] LOG:  checkpoint starting: xlog
1464744530.025 2016-06-01 01:28:50 UTC 3337  [574d85aa.d09:324] LOG:  checkpoint complete: wrote 733761 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.375 s, sync=0.011 s, total=39.827 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6701121 kB, estimate=6701121 kB
1464744564.592 2016-06-01 01:29:24 UTC 3337  [574d85aa.d09:325] LOG:  checkpoint starting: xlog
1464744605.507 2016-06-01 01:30:05 UTC 3337  [574d85aa.d09:326] LOG:  checkpoint complete: wrote 700590 buffers (33.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.546 s, sync=0.004 s, total=40.915 s; sync files=52, longest=0.001 s, average=0.000 s; distance=6701077 kB, estimate=6701117 kB
1464744640.461 2016-06-01 01:30:40 UTC 3337  [574d85aa.d09:327] LOG:  checkpoint starting: xlog
1464744682.383 2016-06-01 01:31:22 UTC 3337  [574d85aa.d09:328] LOG:  checkpoint complete: wrote 733323 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.517 s, sync=0.006 s, total=41.921 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701005 kB, estimate=6701106 kB
1464744716.272 2016-06-01 01:31:56 UTC 3337  [574d85aa.d09:329] LOG:  checkpoint starting: xlog
1464744755.053 2016-06-01 01:32:35 UTC 3337  [574d85aa.d09:330] LOG:  checkpoint complete: wrote 730750 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.372 s, sync=0.008 s, total=38.780 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701053 kB, estimate=6701100 kB
1464744789.513 2016-06-01 01:33:09 UTC 3337  [574d85aa.d09:331] LOG:  checkpoint starting: xlog
1464744829.894 2016-06-01 01:33:49 UTC 3337  [574d85aa.d09:332] LOG:  checkpoint complete: wrote 731247 buffers (34.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.964 s, sync=0.005 s, total=40.381 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701082 kB, estimate=6701099 kB
1464744863.927 2016-06-01 01:34:23 UTC 3337  [574d85aa.d09:333] LOG:  checkpoint starting: xlog
1464744903.941 2016-06-01 01:35:03 UTC 3337  [574d85aa.d09:334] LOG:  checkpoint complete: wrote 746256 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.633 s, sync=0.007 s, total=40.013 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701015 kB, estimate=6701090 kB
1464744938.722 2016-06-01 01:35:38 UTC 3337  [574d85aa.d09:335] LOG:  checkpoint starting: xlog
1464744979.975 2016-06-01 01:36:19 UTC 3337  [574d85aa.d09:336] LOG:  checkpoint complete: wrote 735348 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.891 s, sync=0.009 s, total=41.252 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701055 kB, estimate=6701087 kB
1464745014.365 2016-06-01 01:36:54 UTC 3337  [574d85aa.d09:337] LOG:  checkpoint starting: xlog
1464745055.096 2016-06-01 01:37:35 UTC 3337  [574d85aa.d09:338] LOG:  checkpoint complete: wrote 752833 buffers (35.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.334 s, sync=0.007 s, total=40.730 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701125 kB, estimate=6701125 kB
1464745088.673 2016-06-01 01:38:08 UTC 3337  [574d85aa.d09:339] LOG:  checkpoint starting: xlog
1464745125.681 2016-06-01 01:38:45 UTC 3337  [574d85aa.d09:340] LOG:  checkpoint complete: wrote 768409 buffers (36.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.641 s, sync=0.005 s, total=37.008 s; sync files=54, longest=0.001 s, average=0.000 s; distance=6700982 kB, estimate=6701111 kB
1464745159.571 2016-06-01 01:39:19 UTC 3337  [574d85aa.d09:341] LOG:  checkpoint starting: xlog
1464745200.270 2016-06-01 01:40:00 UTC 3337  [574d85aa.d09:342] LOG:  checkpoint complete: wrote 752207 buffers (35.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.304 s, sync=0.007 s, total=40.698 s; sync files=54, longest=0.004 s, average=0.000 s; distance=6701126 kB, estimate=6701126 kB
1464745234.753 2016-06-01 01:40:34 UTC 3337  [574d85aa.d09:343] LOG:  checkpoint starting: xlog
1464745273.417 2016-06-01 01:41:13 UTC 3337  [574d85aa.d09:344] LOG:  checkpoint complete: wrote 737944 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.234 s, sync=0.008 s, total=38.664 s; sync files=53, longest=0.005 s, average=0.000 s; distance=6701050 kB, estimate=6701118 kB
1464745307.582 2016-06-01 01:41:47 UTC 3337  [574d85aa.d09:345] LOG:  checkpoint starting: xlog
1464745347.598 2016-06-01 01:42:27 UTC 3337  [574d85aa.d09:346] LOG:  checkpoint complete: wrote 739612 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.612 s, sync=0.008 s, total=40.016 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6701033 kB, estimate=6701109 kB
1464745381.982 2016-06-01 01:43:01 UTC 3337  [574d85aa.d09:347] LOG:  checkpoint starting: xlog
1464745422.603 2016-06-01 01:43:42 UTC 3337  [574d85aa.d09:348] LOG:  checkpoint complete: wrote 744076 buffers (35.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.347 s, sync=0.003 s, total=40.620 s; sync files=52, longest=0.001 s, average=0.000 s; distance=6701097 kB, estimate=6701108 kB
1464745457.405 2016-06-01 01:44:17 UTC 3337  [574d85aa.d09:349] LOG:  checkpoint starting: xlog
1464745496.884 2016-06-01 01:44:56 UTC 3337  [574d85aa.d09:350] LOG:  checkpoint complete: wrote 726539 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.101 s, sync=0.006 s, total=39.478 s; sync files=49, longest=0.002 s, average=0.000 s; distance=6701005 kB, estimate=6701098 kB
1464745531.002 2016-06-01 01:45:31 UTC 3337  [574d85aa.d09:351] LOG:  checkpoint starting: xlog
1464745570.253 2016-06-01 01:46:10 UTC 3337  [574d85aa.d09:352] LOG:  checkpoint complete: wrote 748710 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.849 s, sync=0.006 s, total=39.251 s; sync files=53, longest=0.004 s, average=0.000 s; distance=6701061 kB, estimate=6701094 kB
1464745605.076 2016-06-01 01:46:45 UTC 3337  [574d85aa.d09:353] LOG:  checkpoint starting: xlog
1464745642.392 2016-06-01 01:47:22 UTC 3337  [574d85aa.d09:354] LOG:  checkpoint complete: wrote 726598 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.033 s, sync=0.009 s, total=37.315 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6701049 kB, estimate=6701090 kB
1464745676.651 2016-06-01 01:47:56 UTC 3337  [574d85aa.d09:355] LOG:  checkpoint starting: xlog
1464745718.477 2016-06-01 01:48:38 UTC 3337  [574d85aa.d09:356] LOG:  checkpoint complete: wrote 724875 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.434 s, sync=0.009 s, total=41.825 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6701067 kB, estimate=6701087 kB
1464745751.384 2016-06-01 01:49:11 UTC 3337  [574d85aa.d09:357] LOG:  checkpoint starting: xlog
1464745792.887 2016-06-01 01:49:52 UTC 3337  [574d85aa.d09:358] LOG:  checkpoint complete: wrote 750693 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.119 s, sync=0.008 s, total=41.502 s; sync files=53, longest=0.003 s, average=0.000 s; distance=6701041 kB, estimate=6701083 kB
1464745827.402 2016-06-01 01:50:27 UTC 3337  [574d85aa.d09:359] LOG:  checkpoint starting: xlog
1464745850.209 2016-06-01 01:50:50 UTC 3337  [574d85aa.d09:360] LOG:  checkpoint complete: wrote 417235 buffers (19.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=22.422 s, sync=0.000 s, total=22.806 s; sync files=0, longest=0.000 s, average=0.000 s; distance=6701035 kB, estimate=6701078 kB
1464745850.209 2016-06-01 01:50:50 UTC 3337  [574d85aa.d09:361] LOG:  checkpoint starting: immediate force wait
1464745850.857 2016-06-01 01:50:50 UTC 3337  [574d85aa.d09:362] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=0.079 s, sync=0.000 s, total=0.647 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1798223 kB, estimate=6210792 kB
1464745856.833 2016-06-01 01:50:56 UTC 3337  [574d85aa.d09:363] LOG:  checkpoint starting: immediate force wait flush-all
1464745857.023 2016-06-01 01:50:57 UTC 3337  [574d85aa.d09:364] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 84 removed, 25 recycled; write=0.062 s, sync=0.000 s, total=0.190 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=5589713 kB
1464745857.068 2016-06-01 01:50:57 UTC 3337  [574d85aa.d09:365] LOG:  checkpoint starting: immediate force wait
1464745857.137 2016-06-01 01:50:57 UTC 3337  [574d85aa.d09:366] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.066 s, sync=0.000 s, total=0.069 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=5030742 kB
1464746457.367 2016-06-01 02:00:57 UTC 3337  [574d85aa.d09:367] LOG:  checkpoint starting: time
1464746757.101 2016-06-01 02:05:57 UTC 3337  [574d85aa.d09:368] LOG:  checkpoint complete: wrote 943 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.730 s, sync=0.001 s, total=299.734 s; sync files=75, longest=0.000 s, average=0.000 s; distance=260024 kB, estimate=4553670 kB
1464747057.201 2016-06-01 02:10:57 UTC 3337  [574d85aa.d09:369] LOG:  checkpoint starting: time
1464747057.303 2016-06-01 02:10:57 UTC 3337  [574d85aa.d09:370] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 16 removed, 0 recycled; write=0.084 s, sync=0.000 s, total=0.102 s; sync files=0, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=4098304 kB
1464747373.837 2016-06-01 02:16:13 UTC 3337  [574d85aa.d09:371] LOG:  checkpoint starting: immediate force wait
1464747373.919 2016-06-01 02:16:13 UTC 3337  [574d85aa.d09:372] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.080 s, sync=0.000 s, total=0.082 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3688474 kB
1464747974.020 2016-06-01 02:26:14 UTC 3337  [574d85aa.d09:373] LOG:  checkpoint starting: time
1464747974.191 2016-06-01 02:26:14 UTC 3337  [574d85aa.d09:374] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.168 s, sync=0.000 s, total=0.171 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=3319628 kB
1464748274.026 2016-06-01 02:31:14 UTC 3337  [574d85aa.d09:375] LOG:  checkpoint starting: immediate force wait
1464748274.097 2016-06-01 02:31:14 UTC 3337  [574d85aa.d09:376] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.069 s, sync=0.000 s, total=0.071 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2987665 kB
